Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Status
prokinetics-m-l-articulacao-tamarack-dorsiflexao-durometro-95-par,"/M/L Articulação TAMARACK Dorsiflexão, durômetro 95 (par)","<p>/M/L Articulação TAMARACK Dorsiflexão, durômetro 95 (par) 269,00</p><p class='meta'>Fornecedor: <strong>ProKinetics</strong> · Código original: 742-95-P</p>",ProKinetics,Health & Beauty > Health Care > Mobility & Accessibility,Pés protéticos,"ProKinetics, Pés protéticos",TRUE,Title,Default Title,742-95-P,shopify,0,deny,manual,,,TRUE,TRUE,,"/M/L Articulação TAMARACK Dorsiflexão, durômetro 95 (par)",draft
prokinetics-revestimento-anti-atrito-shearban-r-bege-un,Revestimento anti-atrito SHEARBAN® bege (un),"<p>Revestimento anti-atrito SHEARBAN® bege (un) 255,00</p><p class='meta'>Fornecedor: <strong>ProKinetics</strong> · Código original: 749S-BEIGE</p>",ProKinetics,Health & Beauty > Health Care > Mobility & Accessibility,Pés protéticos,"ProKinetics, Pés protéticos",TRUE,Title,Default Title,749S-BEIGE,shopify,0,deny,manual,,,TRUE,TRUE,,Revestimento anti-atrito SHEARBAN® bege (un),draft
prokinetics-ou-a4r-artic-de-joelho-trava-anel-extra-grande-aco-hastes-alum-par,"Ou A4R Artic. de joelho trava ANEL, extra grande, aço, hastes alum (par)","<p>ou A4R Artic. de joelho trava ANEL, extra grande, aço, hastes alum (par) 1.672,00</p><p class='meta'>Fornecedor: <strong>ProKinetics</strong> · Código original: 1002-A4L</p>",ProKinetics,Health & Beauty > Health Care > Mobility & Accessibility,Pés protéticos,"ProKinetics, Pés protéticos",TRUE,Title,Default Title,1002-A4L,shopify,0,deny,manual,850.00,,TRUE,TRUE,,"Ou A4R Artic. de joelho trava ANEL, extra grande, aço, hastes alum (par)",active
prokinetics-ou-a6r-artic-de-joelho-trava-anel-grande-aco-hastes-alum-par,"Ou A6R Artic. de joelho trava ANEL, grande, aço, hastes alum (par)","<p>ou A6R Artic. de joelho trava ANEL, grande, aço, hastes alum (par) 1.672,00</p><p class='meta'>Fornecedor: <strong>ProKinetics</strong> · Código original: 1002-A6L</p>",ProKinetics,Health & Beauty > Health Care > Mobility & Accessibility,Pés protéticos,"ProKinetics, Pés protéticos",TRUE,Title,Default Title,1002-A6L,shopify,0,deny,manual,850.00,,TRUE,TRUE,,"Ou A6R Artic. de joelho trava ANEL, grande, aço, hastes alum (par)",active
prokinetics-artic-de-joelho-trava-anel-grande-aco-hastes-aco-par,"Artic. de joelho trava ANEL, grande, aço, hastes AÇO (par)","<p>Artic. de joelho trava ANEL, grande, aço, hastes AÇO (par) 1.739,00</p><p class='meta'>Fornecedor: <strong>ProKinetics</strong> · Código original: 1002-A6S</p>",ProKinetics,Health & Beauty > Health Care > Mobility & Accessibility,Pés protéticos,"ProKinetics, Pés protéticos",TRUE,Title,Default Title,1002-A6S,shopify,0,deny,manual,850.00,,TRUE,TRUE,,"Artic. de joelho trava ANEL, grande, aço, hastes AÇO (par)",active
prokinetics-ou-b6r-artic-de-joelho-trava-anel-media-aco-hastes-alum-par,"Ou B6R Artic. de joelho trava ANEL, média, aço, hastes alum (par)","<p>ou B6R Artic. de joelho trava ANEL, média, aço, hastes alum (par) 1.640,00</p><p class='meta'>Fornecedor: <strong>ProKinetics</strong> · Código original: 1002-B6L</p>",ProKinetics,Health & Beauty > Health Care > Mobility & Accessibility,Pés protéticos,"ProKinetics, Pés protéticos",TRUE,Title,Default Title,1002-B6L,shopify,0,deny,manual,850.00,,TRUE,TRUE,,"Ou B6R Artic. de joelho trava ANEL, média, aço, hastes alum (par)",active
prokinetics-artic-de-joelho-trava-anel-peq-hastes-alum-par,"Artic. de joelho trava ANEL, peq., hastes alum (par)","<p>Artic. de joelho trava ANEL, peq., hastes alum (par) 1.606,00</p><p class='meta'>Fornecedor: <strong>ProKinetics</strong> · Código original: 1002-C8</p>",ProKinetics,Health & Beauty > Health Care > Mobility & Accessibility,Pés protéticos,"ProKinetics, Pés protéticos",TRUE,Title,Default Title,1002-C8,shopify,0,deny,manual,,,TRUE,TRUE,,"Artic. de joelho trava ANEL, peq., hastes alum (par)",draft
prokinetics-ou-a4r-artic-de-joelho-trava-suica-extra-grande-aco-hastes-alum-par,"Ou A4R Artic. de joelho trava SUIÇA, extra grande, aço, hastes alum (par)","<p>ou A4R Artic. de joelho trava SUIÇA, extra grande, aço, hastes alum (par) 1.916,00</p><p class='meta'>Fornecedor: <strong>ProKinetics</strong> · Código original: 1003-A4L</p>",ProKinetics,Health & Beauty > Health Care > Mobility & Accessibility,Pés protéticos,"ProKinetics, Pés protéticos",TRUE,Title,Default Title,1003-A4L,shopify,0,deny,manual,850.00,,TRUE,TRUE,,"Ou A4R Artic. de joelho trava SUIÇA, extra grande, aço, hastes alum (par)",active
prokinetics-ou-a6r-artic-de-joelho-trava-suica-grande-aco-hastes-alum-par,"Ou A6R Artic. de joelho trava SUIÇA, grande, aço, hastes alum. (par)","<p>ou A6R Artic. de joelho trava SUIÇA, grande, aço, hastes alum. (par) 1.916,00</p><p class='meta'>Fornecedor: <strong>ProKinetics</strong> · Código original: 1003-A6L</p>",ProKinetics,Health & Beauty > Health Care > Mobility & Accessibility,Pés protéticos,"ProKinetics, Pés protéticos",TRUE,Title,Default Title,1003-A6L,shopify,0,deny,manual,850.00,,TRUE,TRUE,,"Ou A6R Artic. de joelho trava SUIÇA, grande, aço, hastes alum. (par)",active
prokinetics-ou-b6r-artic-de-joelho-trava-suica-media-aco-hastes-alum-par,"Ou B6R Artic. de joelho trava SUIÇA, média, aço, hastes alum (par)","<p>ou B6R Artic. de joelho trava SUIÇA, média, aço, hastes alum (par) 1.884,00</p><p class='meta'>Fornecedor: <strong>ProKinetics</strong> · Código original: 1003-B6L</p>",ProKinetics,Health & Beauty > Health Care > Mobility & Accessibility,Pés protéticos,"ProKinetics, Pés protéticos",TRUE,Title,Default Title,1003-B6L,shopify,0,deny,manual,850.00,,TRUE,TRUE,,"Ou B6R Artic. de joelho trava SUIÇA, média, aço, hastes alum (par)",active
